solarSystemId,solarSystemName
30003321,5-FGQI
30003359,DUV-5Y
30003315,617I-I
30003354,51-5XG
30003350,57-YRU
30003280,6-CZ49
30003289,ZN0-SR
30003346,5-VKCN
30003343,KFR-ZE
30003370,2G38-I
30003341,9U-TTJ
30003302,5-T0PZ
30003328,BY-S36
30003330,0LTQ-C
30003363,CIS-7X
30003365,EU0I-T
30003299,T-LIWS
30003276,FD-MLJ
30003271,Poitot
30004937,TCAG-3
30004943,VQE-CN
30004965,Z-M5A1
30004963,RYQC-I
30004954,08S-39
30004948,E-DOF2
30004584,Z9PP-H
30004587,7X-02R
30004624,P5-EFH
30004627,YRNJ-8
30004666,Z-YN5Y
30004601,CHA2-Q
30004571,Q-XEB3
30004570,SPLE-Y
30004611,15U-JY
30004616,7BX-6F
30004615,HMF-9D
30004566,R3W-XU
30004563,AC2E-3
30004644,V6-NY1
30004647,PXF-RF
30004631,G-UTHL
30004579,KCT-0A
30004583,IGE-RI
30004575,JGOW-Y
30004606,H-S80W
30004602,UAYL-F
30004605,A-HZYL
30004593,L-1SW8
30004591,6F-H3W
30004640,87XQ-0
30004636,I-CUVX
30002901,TXME-A
30002922,E-FIC0
30002923,ZOYW-O
30002927,5W3-DG
30002912,S-DN5M
30002913,MXX5-9
30002937,3JN9-Q
30002951,U-TJ7Y
30002918,N-TFXK
30002919,33RB-O
30002946,XCBK-X
30002940,MZ1E-P
30004859,Y-EQ0C
30004861,MS1-KJ
30004863,NZW-ZO
30004882,ZO-P5K
30004879,9-980U
30004817,ZD1-Z2
30004821,FE-6YQ
30004829,PEK-8Z
30004839,JI1-SY
30004874,0P-U0Q
30004877,T-AKQZ
30004809,Y-ORBJ
30004808,3L3N-X
30004803,WB-AYY
30004804,BW-WJ2
30004814,H-HWQR
30004833,KW-OAM
30004849,16AM-3
30004867,F-ZBO0
30004380,C-VGYO
30004383,NEH-CS
30004337,Q-NJZ4
30004335,CX-1XF
30004377,SVB-RE
30004373,J52-BH
30004316,KMC-WI
30004326,O-JPKH
30004323,AH-B84
30004350,YG-82V
30004344,52G-NZ
30004341,Z-K495
30004365,C-LP3N
30004362,P7Z-R3
30004392,W-4FA9
30004394,2B7A-3
30004353,LRWD-B
30004352,T-Q2DD
30004356,M-HU4V
30004384,4DTQ-K
30004400,I-7JR4
30004399,BU-IU4
30001073,VVB-QH
30001052,IBOX-2
30001055,JA-G0T
30001135,HG-YEQ
30001137,QSCO-D
30001147,POQP-K
30001108,Y-XZA7
30001106,PWPY-4
30001081,1NZV-7
30001114,APES-G
30001113,XTVZ-E
30001122,GL6S-2
30001123,RUF3-O
30001117,NBW-GD
30001062,N-YLOE
30001061,NSI-MW
30001129,H-EBQG
30001131,ZOPZ-6
30001083,DAI-SH
30001141,7T-0QS
30001145,S5W-1Z
30001064,F-TQWO
30002109,Y19P-1
30002116,O7-7UX
30002103,NS2L-4
30002162,Y-FZ5N
30002160,AC-7LZ
30002166,U9U-TQ
30002167,6-I162
30002169,Y-C4AL
30002127,CJNF-J
30002180,FRTC-5
30002182,R-ORB7
30000645,0LY-W1
30000644,U93O-A
30000615,LMM7-L
30000613,D-6H64
30000629,U-QMOA
30000626,I6-SYN
30000620,M-CNUD
30000640,JZ-B5Y
30000650,NG-M8K
30002749,Kausaaja
30002753,Aikoro
30002813,Tama
30002811,Onatoh
30002792,Irjunen
30002777,Isutaka
30041392,Laah
30002814,Uotila
30002802,Kusomonmon
30002762,Yashunen
30002771,Kulelen
30002783,Sankkasen
30002785,Santola
30002796,Hysera
30002758,Hasama
30002756,Ishomilken
30004045,77-KDQ
30004049,O-IVNH
30004066,QA1-BT
30004038,XT-R36
30004052,OU-X3P
30004053,6-4V20
30004056,8R-RTB
30004075,X-M9ON
30004071,28O-JY
30004064,MJYW-3
30004061,G8AD-C
30002619,6E-MOW
30002622,X-0CKQ
30002627,GU-9F4
30002631,DDI-B7
30002585,4OIV-X
30002599,DY-40Z
30002605,E7VE-V
30002609,01TG-J
30002615,PZMA-E
30002617,Z-N9IP
30000836,1ZF-PJ
30000810,F3-8X2
